id,下个对话组首句闲聊,"对话内容
支持随机对话内容",接取1个任务对话,接取2个任务对话,接取3个任务对话。,是否气泡,对话选项数量,对话选项1,对话选项1跳转对话ID,任务标记1,关联任务1,对话选项2,对话选项2跳转对话ID,任务标记2,关联任务2,对话选项3,对话选项3跳转对话ID,任务标记3,关联任务3
500102,,嗯，就是那些在鬼哭森林砍树的源码机器，它们应该是阿尔法创造的，现在公司需要研究下它们的机制。可以帮忙带2个它们的源码核心回来吗？,,,,0,2,"行吧！,我试试看！",500103,1,1056,NO！太难别闹!,500202,0,0,,,,
500103,,加油哦！,,,,1,,,,,,,,,,,,,
500104,,务必小心哦！,,,,1,,,,,,,,,,,,,
500201,,源码守卫是很强力的源码守卫机器。它们的核心也很具有研究价值。公司需要您帮忙收集一些？客人能帮我收集1个它的核心吗？,,,,0,2,我尽力而为！,500104,1,1057,啊？你在说神马？,500203,0,0,,,,
500202,,呀！您可真没自信，那我找别人了！,,,,1,,,,,,,,,,,,,
500203,,客人不愿去就不去，没必要装傻！哈哈！,,,,1,,,,,,,,,,,,,
500301,,呀，又跑掉了。,看来是还没搞定呢。,哈哈哈，真是可爱的客人呢。,,1,,,,,,,,,,,,,
600101,,客人，目前没有什么事情需要请您帮忙了呢。不如去浮沉沙漠转转吧！那里能体会到有趣的沙漠风光哦。,,,,0,3,浮沉沙漠？,600102,,,好吧！,600201,,,我去过了！,600301,600201,
600102,,就在麦浪平原的东南方向，穿过鬼哭森林和环形山脉就能到达了。,,,,0,1,那我这便去了。,600201,,,,,,,,,,
600201,,再见，要记得回来看我哦。,,,,1,,,,,,,,,,,,,
110101,120101,哦，您来了吗？客人，浮沉沙漠可不是友善之地，来到这里就要做好迎接挑战的准备！,,,,0,3,挑战？,110102,2,1091,我可不怕！,110201,,,那我走了。,110301,,
110102,,很明显吧，沙漠不宜生存，而且由于沙化还出现了奇怪的沙漠干尸。走位的石地里还有很多有攻击意图的源码矿机。沙漠深处的还有一个巨大怪物可谓最大的危险，当然是挑战啦！,,,,0,1,巨大怪物？,110103,,,,,,,,,,
110103,,具体公司也在调查当中呢，您刚到源码部落是碰到的数据袭击似乎就是它干的好事呢！现在，您最好打几只山地羊练习战斗和获取食物！能帮助你在这里生存下去。,,,,0,2,好啊，小意思。,110104,1,1091,我自己先转转！,110201,,,,,,
110104,,打5只就差不多啦，祝你满载而归哦！,,,,1,,,,,,,,,,,,,
110201,,哈哈，有信心是好事呢！,,,,1,,,,,,,,,,,,,
110301,,知难而退也不失为一个正确的选择。,,,,1,,,,,,,,,,,,,
120101,130101,您没有被困难打倒，真的很棒。可是接下来的挑战可是会越来越难的哦。你需要好的装备才能强大自己，所以去挖矿吧！但是一定要小心那些矿机。他们会攻击你。,,,,0,,嗯。我会小心,120102,1,1092,,,,,,,,
120102,,祝你平安归来。,,,,1,,,,,,,,,,,,,
130101,140101,好，有了充足的矿石就可以合成好的装备，然后击败矿机，获得更多的矿石了。实现良性循环。现在先去消灭矿区附近的矿机吧！不过仍然不可放松，会有些守卫巡逻保护它们。它们很强。,,,,0,,收到！,130102,1,1093,守卫？,130201,,,,,,1036
130102,,变强了也要小心谨慎，要知道小心使得万年船！,,,,1,,,,,,,,,,,,,
130201,,嗯，它们似乎在保护源码机械的开采工作，现在公司也在研究它们的目的呢。,,,,0,,明白了。,,,,,,,,,,,
140101,150101,嗯，现在的你应该已经有了和守卫一战的实力了，去尝试挑战它吧！不过如果还没准备好的话一定不要逞强哦。那对你没有任何好处。,,,,0,,我试试！,104102,1,1094,我还没准备好！,104201,,,,,,
140102,,嗯，它们虽然强大，但也不是没有弱点，加油！,,,,1,,,,,,,,,,,,,1039
140201,,那就好好准备，记住，要变强，要有矿哦！,,,,1,,,,,,,,,,,,,
150101,160101,很好，现在的你已经具有了强大的实力，可以去找那个在初到源码世界的时候袭击你的那个坏家伙麻烦啦。不过它真的很强，建议你多找点朋友去干掉它哦！,,,,0,,嗯，我会的。,150102,1,1095,暂时放过它。,,,,,,,
150102,,祝你成功！,,,,1,,,,,,,,,,,,,1042
150201,,嗯。那就让他再逍遥一会！,,,,1,,,,,,,,,,,,,
160101,,你的强大让我钦佩，听说公司上下都在称赞你的英勇表现呢。,,,,0,,是吗？,160102,,,,,,,,,,
160102,,当然，不过高处不甚寒，一定不要骄傲哦。,,,,0,,嗯。,160103,,,,,,,,,,
210101,220101,亲爱的客人，您好，您知道吗？这里曾经是第一座人工智能们建立的城市哦。,,,,0,,人工智能？,210102,2,1096,城市？,210201,,,,,,
210102,,哦，您还不知道吗？源码部落本来是为了防止人工智能失控而建立的哦。,,,,0,,原来是这样。,210103,,,那现在呢？,210202,,,,,,
210103,,对啊，可惜还是失败了呢。不仅如此，现在还有它们残留下来的源码机械给我们找麻烦呢。,,,,0,,源码机械？,210104,,,,,,,,,,
210104,,嗯，那些机器人就是人工智能利用源码部落的源码能量制造的哦。对啦，请您去清理下周边的小机器人吧！它们总来干扰我的工作呢。,,,,0,,没问题。,210105,1,1096,我还有事呢。,210203,,,,,,
210105,,辛苦您啦！,,,,1,,,,,,,,,,,,,
210106,,但是公司也不一定对呢。谁知道呢。,,,,1,,,,,,,,,,,,,
210201,,嗯，别看现在这里断壁残垣的，其实原来是座很大的城市呢。,,,,1,,,,,,,,,,,,,
210202,,据公司说是人工智能和创造源码部落的五大神大战后同归于尽啦。所以它们都不见了。,,,,0,,原来是这样。,210106,,,,,,,,,,
210203,,这样啊，那就没办法啦。还是谢谢您。,,,,1,,,,,,,,,,,,,
220101,230101,亲爱的{var0=playername}，上次您帮我清理了那些小机器人，真是非常感谢您。不过似乎起到了反效果，现在那些机械狗老在周边徘徊。能请您去消灭它们吗？,,,,0,,当然可以。,220102,1,1097,我要缓一缓。,220201,,,,,,
220102,,您真是个大好人，法尔喜欢你。嘻嘻。,,,,1,,,,,,,,,,,,,
220201,,嗯，行的，法尔不着急，等您有时间再来吧。,,,,1,,,,,,,,,,,,,
230101,240101,大大，你来了，告诉您哦，巨木之森就在源码古城的右边，里面不仅木材数量多，种类也很丰富呢。不过也有些伐木机。但是对大大来说应该是小菜一碟啦。,,,,0,,谢谢你的消息。,230102,,,伐木机？,230201,2,1098,,,,
230102,,不用谢呢。,,,,1,,,,,,,,,,,,,
230103,,法尔也看出来了呢。O(∩_∩)O。,,,,1,,,,,,,,,,,,,
230201,,嗯，因为木材资源丰富，所以有伐木机在很正常哦，您可以先干掉它们，再慢慢采集树木。,,,,0,,打架我喜欢。,230103,1,1098,再说吧。,230202,,,,,,
230202,,嗯嗯。(*^_^*)。,,,,1,,,,,,,,,,,,,
240101,,您又来了吗？喜欢打架的话，您可以去浮沉沙漠或者飞箭平原看看哦。那两个家伙似乎就喜欢让人去打架呢。,,,,0,,浮沉沙漠?,240102,,,飞箭平原?,240201,,,,去过啦!,240301,
240102,,浮沉沙漠充满挑战，值得一去哦。应该能让你满意。,,,,1,,,,,,,,,,,,,
240201,,飞箭平原的那家伙可喜欢弓箭了，一定会要你造一批弓箭打怪物的。哈哈。,,,,1,,,,,,,,,,,,,
240301,,那您大可去世界尽头探索啦，什么人面冰原，寂灭山脉都是很刺激的地点哦。,,,,1,,,,,,,,,,,,,
310101,320101,法尔代表狗头人平原欢迎您的到来，那么，就让我们开工吧!,,,,0,,开工？,310102,,,啊？,310201,1,1029,不知所谓,310301,1,1030
310102,,对啊，看到附近的模样就该知道了吧。我最喜欢爱建造的小伙伴了。怎么样？先去打个地基吧！,,,,0,,打地基？,310103,,,我要做别的事。,310202,,,,,,
310103,,嗯，打地基，非常简单的。没有领地的话就请先占领一块领地，然后采集些木材制造地板，9个就差不多了，建造自己的领地上，地基就搞定了。,,,,0,,明白了。,310104,1,,好麻烦，走了！,310203,,,,,,
310104,,真是个充满干劲的人呀，加油哦。,,,,1,,,,,,,,,,,,,
310201,,啊什么哦，好笨啊，我不要教笨徒弟。ヾ(•ω•`)o。略略略。,,,,1,,,,,,,,,,,,,
310202,,竟然要做别得事情，真是不可爱。,,,,1,,,,,,,,,,,,,
310203,,怕麻烦可不行，什么事都不简单哦。,,,,1,,,,,,,,,,,,,
310301,,(╯▔皿▔)╯，本法尔大人决定讨厌你1秒钟。,,,,1,,,,,,,,,,,,,
320101,330101,打好地基了，接下来就是建造墙壁了，这些都是基础中的基础，简单中的简单。,,,,0,,额，好吧。,320102,1,1031,我要去干点别的。,320201,,,,,,
320102,,别不情不愿的，要建造11个墙壁哦。,,,,1,,明白！,320103,,,我才不要听你的。,320202,,,,,,
320103,,这才像话！,,,,1,,,,,,,,,,,,,
320201,,还有什么能比建造一个自己的房子更重要呢，真是不明白啊。,,,,1,,,,,,,,,,,,,
320202,,真是调皮，哈哈，那就等你愿意听了再来。,,,,1,,,,,,,,,,,,,
330101,340101,好了，不和你闹着玩了，下面我们建造一个床吧，找一个地方安顿下来可是很重要的。,,,,0,,嗯，好的。,330102,1,1034,我再想想吧！,330201,1,1035,我喜欢四海为家。,330301,1,1036
330102,,哈哈，果然表达很重要呢。,,,,1,,,,,,,,,,,,,
330201,,那行，多多思考没有错。,,,,1,,,,,,,,,,,,,
330301,,难道还在记我的仇吗？,,,,1,,,,,,,,,,,,,
340101,,后面的完善就自己加油完成吧。我会给你指导的。,,,,0,,椅子的种类？,340102,1,1037,5只咕咕鸡很简单的。,340201,1,1038,特别的装饰？,340301,1,1039
340102,,根据树种的不同会有不同种类的椅子，树种所处的地点也不一样，具体在哪里就需要您自己去探索啦。,,,,0,,谢谢！,340103,,,好，拜拜。,340202,,,,,,
340103,,真是有礼貌的好孩子，哈哈。,,,,1,,,,,,,,,,,,,
340201,,根据树种的不同会有不同种类的桌子，树种所处的地点也不一样，具体在哪里就需要您自己去探索啦。,,,,0,,谢谢！,340103,,,好，拜拜。,340202,,,,,,
340202,,真是，得到消息就跑啦，要说谢谢的。,,,,1,,,,,,,,,,,,,
340301,,书柜啊，壁橱啊，书桌啦，置物架什么的，很多哦。加油丰富你的家吧！,,,,1,,,,,,,,,,,,,
610101,620101,看着辽阔的大海便要想到海的那边是什么，探索的精神永不停息！,,,,0,,海的那边是什么？,610102,2,1061,探索精神？,610201,,,,,,
610102,,让无所不知的法尔大冒险家告诉你，海的南边是冰晶群岛哦，你要去看看吗？好吧，其实因为职责所在，我其实哪里也没去过呢，请帮我去看看吧。,,,,0,,好啊，给你带照片。,610103,1,1061,抱歉，我也走不开。,610202,,,,,,
610103,,那可太棒了，就像我自己去了一样。,,,,1,,,,,,,,,,,,,
610104,,加油探索吧，发现那些美妙的秘密。,,,,1,,,,,,,,,,,,,
610201,,所谓探索精神就是一种认识自我，掌控自我，以及认识自我所处环境和不断发现，不断认知的过程哦。明白了吗？,,,,0,,好像懂了。,610104,,,不太明白。,610203,,,,,,
610202,,那可真是遗憾呢。,,,,1,,,,,,,,,,,,,
610203,,你总会明白的，因为现在你不就在探索吗。(●'◡'●)。,,,,1,,,,,,,,,,,,,
620101,630101,山的上面有什么呢？好好奇啊。,,,,0,,要我帮你去看看吗？,620102,2,1062,好奇害死猫。,620201,,,,,,
620102,,好啊好啊，回来告诉我你的见闻哦，这座山叫做勾形山脉，听说连起来像个巨大的勾，也不知道是不是真的。,,,,0,,等我回来。,620103,1,1062,好像很没意思。,620202,,,,,,
620103,,好，~o( =∩ω∩= )m。,,,,1,,,,,,,,,,,,,
620201,,额，我可不是猫哦，我是伟大的冒险家法尔大人。哼哼。,,,,1,,,,,,,,,,,,,
630101,,你回来啦，怎么样？看到什么美丽的风景了吗？,,,,0,,没你美丽，哈哈！,630102,,,没什么意思。,630201,,,,,,
630102,,额，不要调戏本宝宝，\(￣︶￣*\))。,,,,0,,还有什么地方可去吗？,630103,,,那我走啦！,630202,,,,,,
630103,,哈，你终于打算自己去冒险了吗？那么先去迷失森林，再去弯弓半岛，最后去山地沙漠里会会那个把你打下来的大怪物吧。,,,,0,,迷失森林？,630104,2,1063,弯弓半岛？,630203,1,1064,山地沙漠？,630301,1,1065
630104,,对，迷失森林，有很多美丽的树妖哦。,,,,0,,好，我去看看。,630105,1,1063,考虑考虑再说。,630204,,,,,,
630105,,别被树妖迷上了哦。,,,,1,,,,,,,,,,,,,
630201,,果然，美景也是在乎一心的。心中有美景则处处是美景哦。,,,,1,,,,,,,,,,,,,
630202,,走吧，走吧，我的宝贝。(￣y▽￣)╭ Ohohoho…..,,,,1,,,,,,,,,,,,,
630203,,沿着右边的海岸一直走就到了，快去吧。,,,,1,,,,,,,,,,,,,
630301,,在这片大陆的最北方，到了要小心些哦。,,,,1,,,,,,,,,,,,,
710101,720101,人生就是要不断的战斗啊！我最喜欢的武器就是弓箭啦。用起来特别爽呢。,,,,0,,战斗？,710102,2,1086,弓箭？,710201,,,,,,
710102,,你不明白吗？想想看，第一次呼吸，第一次说话，第一次走路，第一次拿起筷子。那一次不是一场战斗呢。而无论何时，我们仍然面临着无尽的斗争，改掉坏习惯，改变坏风气。每一次都是艰苦卓绝的战斗啊。所以，请一定要永不言弃，不断战斗哦。,,,,0,,明白了！,710103,2,1086,,,,,,,,
710103,,既然明白了，那么下面就请开始你的战斗之旅吧！先去击败那些小咕咕鸡吧！最好用弓箭哦。你会觉得很爽快的。,,,,0,,好啊！,710104,1,1086,,,,,,,,
710104,,Fighting！！！,,,,1,,,,,,,,,,,,,
710105,,加油哦。,,,,1,,,,,,,,,,,,,
710201,,是想知道弓箭的合成方法吗？准备点树枝，原木，纤维，就能合成最简单的木弓啦。自己去摸索下吧！这也是一场战斗哦！,,,,0,,好的。,710105,,,,,,,,,,
720101,730101,第二战，湖鸭之战。去湖边消灭5只湖鸭。顺带一提，湖鸭很美味哦；这就是战斗胜利的果实啊。,,,,0,,收到！,720102,1,1087,,,,,,,,
720102,,去吧！湖鸭可是会反击的。用弓箭的话可以有效避免近战怪物们的袭击哦。,,,,1,,,,,,,,,,,,,
730101,740101,挑战总是不断升级，战斗总是一场接着一场，当是我们从来不会停滞不前，最多中场休息，养足精神，以备再战。所以下面你是要继续挑战野猪，还是休息一下呢？,,,,0,,挑战野猪,730102,1,1088,中场休息,730201,,,,,,
730102,,看来你还精神十足，那就去干掉5只野猪吧！,,,,1,,,,,,,,,,,,,
730201,,很稳妥的决定呢，养足精神，做好准备。必然能够百战百胜。,,,,1,,,,,,,,,,,,,
740101,750101,狼往往让人心生恐怖，但是唯有战胜内心的恐惧，才可以获得真正的强大。所以，去迷失森林击败10只白毛狼吧。希望你不要迷失其中。,,,,0,,我会平安归来！,740102,1,1089,我再准备准备！,740201,,,,,,
740102,,嗯，我相信你会的。,,,,1,,,,,,,,,,,,,
740103,,准备好了再来找我哦。,,,,1,,,,,,,,,,,,,
740201,,确实要充分准备，不管做什么冒险，都不拿自己的生命开玩笑，做好一些风险预估和相应的准备，才能得到好的结果。,,,,0,,嗯。,740103,,,,,,,,,,
750101,760101,你已经战胜了狼群，那么就可以向更高的目标进发啦。那些源码机械是我们的威胁之一，先去消灭1个源码机械犬练练手吧!,,,,0,,练手？,750102,2,1090,威胁？,750201,,,,,,
750102,,对，练手，这是一类新的对手，你可能也碰到过小源码机器人和侦察机了。但是它们没有主动攻击性。所以不能作为参考。,,,,0,,好，我这就去！,750103,1,1090,,,,,,,,
750103,,务必做好准备，小心谨慎哦。,,,,1,,,,,,,,,,,,,
750201,,对，它们会主动攻击客人们，虽然是数据形态不会真的死亡，但是造成了数据掉落，导致重要的物品丧失还是很常见的。而且死亡可不是什么好体验。,,,,0,,嗯，明白了！,,,,,,,,,,,
760101,,好了，你应该已经对它们有所熟悉了，接下来就是你自由发挥的时间啦。挑战剩下来的源码怪物。不过一定要小心山地沙漠的源码巨怪。它很强大。最好呼朋唤友打败它！,,,,0,,好的。,760102,,,,,,,,,,
760102,,一定要不断的战斗才能成长啊。享受每一次战斗吧！我亲爱的{var0=playername},,,,1,,,,,,,,,,,,,
111101,112101,一份耕耘一份收获，我是爱种田的法尔，客人要和我一起种田吗？可以自给自足哦。,,,,0,,种田？,111102,2,1066,自己自足？,111201,,,我不爱种田。,111301,,
111102,,种田就是收集各种作物的种子，然后种到适宜的土地中然后获得收成哦，可以让你不用为了食物而到处奔波呢。,,,,0,,听起来很棒。,111103,2,1066,好像比打猎麻烦。,111202,,,,,,
111103,,那就让法尔来教你吧，首先去采集些稻子，获得一些稻谷吧，它们是稻子的种子，可以用来种植。先获取5个稻谷作为备用吧。,,,,0,,好的。,111104,1,1066,晚点再说吧！,111203,,,,,,
111104,,稻香平原到处都是稻子，相信你很快就可以搞定的。,,,,1,,,,,,,,,,,,,
111105,,所以，赶快加入种田大军吧。,,,,1,,,,,,,,,,,,,
111201,,对啊，自给自足，通过种田就可以自己养活自己，不用辛苦的打猎或者和别人交换食物啦。,,,,0,,原来如此。,111105,,,,,,,,,,
111202,,付出与收获是成正比的哦！,,,,1,,,,,,,,,,,,,
111203,,那好吧。,,,,1,,,,,,,,,,,,,
111301,,你让法尔我无言以对。,,,,1,,,,,,,,,,,,,
112101,113101,好啦，稻谷准备好了，接下来就是田地了。用肥料和泥土还有水合成一块水田吧，因为稻子是一种很需要水的作物呢。,,,,0,,肥料？,112102,2,1067,泥土？,112201,2,1068,水？,112301,3,1070
112102,,肥料很好获得的，到处活动的动物和你自身都能产生粪便，它们就是这个世界的肥料啦。收集5个粪便用于水田制作吧。,,,,0,,好的。,112103,1,1067,太恶心了，不要。,112202,,,,,,
112103,,记住，平原野猪是粪便最多的动物。,,,,1,,,,,,,,,,,,,
112104,,要小心哦，沼泽里常常有淤泥怪出没。,,,,1,,,,,,,,,,,,,
112105,,可别不小心掉进湖里了，虽然游游泳也不错。哈哈,,,,1,,,,,,,,,,,,,
112201,,对啊，大地母亲孕育万物，包含很多营养物质呢，去沼泽转转，能发现很多泥土哦。,,,,0,,知道了。,112104,1,1068,沼泽好可怕，我不去。,112203,,,,,,
112202,,对于作物来说，那可是重要的宝物呢。,,,,1,,,,,,,,,,,,,
112203,,没有哪件事是简单的，逃避不是办法哦。,,,,1,,,,,,,,,,,,,
112301,,无论是河边还是湖边或者是雨水收集器都能帮你获得水，只是要记得带水囊哦。,,,,0,,好的。,112105,1,1069,,,,,,,,
113101,114101,现在万事具备了，把谷子放到水田里，然后选择稻子就可以了。,,,,0,,好的。,113102,1,1070,,,,,,,,
113102,,行啦，祝你的稻子早日成熟。,,,,1,,,,,,,,,,,,,
114101,,其实，其他的作物种植办法都大同小异哦，多去收集种子，自己摸索，种出一片属于您的农场吧。不过劝您最好不要去浮沉沙漠和飞焰群岛收集种子。,,,,0,,好的。,114102,,,浮沉沙漠？,114201,,,飞焰群岛？,114301,,
114102,,祝你早日成为像我一样的大农场主，哈哈。其实这些都是公司的呢。,,,,1,,,,,,,,,,,,,
114103,,一定不要去哦。,,,,1,,,,,,,,,,,,,
114201,,嗯，浮沉沙漠就一些浑身是刺的仙人掌，而且还有一个巨大的怪物。可危险了。,,,,0,,明白了。,114103,,,,,,,,,,
114202,,不乖的宝宝可是会受到惩罚的。,,,,1,,,,,,,,,,,,,
114301,,飞焰群岛都是火山，基本没什么作物呢，而且还有很多火人和怪物，还是不去的好，我们要做安静的宝宝，明白吗？,,,,0,,了解。,114103,,,不听不听，王八念经。,114202,,,,,,
121101,122101,泥巴黏乎乎，沼泽湿漉漉。法尔呆在这儿，真的很无助。亲爱的虚拟开拓者哟。请帮帮可怜的我吧！,,,,0,,好啊，怎么帮？,121102,2,1099,虚拟开拓者？,121201,,,我也混得差啊。,121301,,
121102,,哈哈，和您开玩笑得，呆在这接待您们是我的工作呢，就是为了提醒你们小心一些。在沼泽，您一定要善于使用您的小伙伴，公司配备的机器人哦。,,,,0,,小心什么？,121103,,,机器人？,121202,,,,,,
121103,,当然是小心沼泽里面的淤泥怪啦。它们不仅脏兮兮的还会主动攻击人呢。不过打败他们似乎能从它们奇怪的身体里找出很多奇特的宝藏欸。,,,,0,,原来如此。,121104,,,,,,,,,,
121104,,既然都聊到这了，不如就请你操控机器人去消灭1只淤泥怪吧。熟悉下怎么在沼泽中使用机器人实现你的目标吧！,,,,0,,好咧。,121105,1,1099,不用啦。,121203,,,,,,
121105,,要好好拼接您的代码。以最小的代价获得最好的成果也是很重要的哦。,,,,1,,,,,,,,,,,,,
121201,,哈哈，公司用脑电波传输技术开启了虚拟世界的通道，但是客人们才是重新构建虚拟世界秩序的人。可不就是虚拟开拓者吗？,,,,0,,哦，好像没错哦。,,,,,,,,,,,
121202,,您难道还不会用机器人吗？点击右上角的机器人按钮就可以召唤它啦，可以帮助您做很多事情呢。,,,,1,,,,,,,,,,,,,
121203,,哦，那好吧。不过还是要记得多用您的机器人哦。,,,,,,,,,,,,,,,,,
121301,,果然，沼泽是个危险且让人讨厌的地方呢。(T_T)。,,,,1,,,,,,,,,,,,,
122101,123101,虽然沼泽让人不喜，但是实际上有很多奇特的资源和动物呢。比如泥牛就经常在沼泽出现？它们的肉很好吃哦。,,,,0,,泥牛？,122102,2,1100,,,,,,,,
122102,,就是那些浑身是泥的牛，虽然看起来脏脏的，但是味道真的很好哦。您不想弄脏自己的话可以通过编写代码，让机器人完成包括击杀，收集，烹调的一些列操作哦。,,,,0,,哦，感觉很厉害。,122103,1,1100,,,,,,,,
122103,,哈哈，那就快让你的机器人击败5只泥牛吧。,,,,1,,,,,,,,,,,,,
123101,124101,不仅仅是打怪，机器人还可以采集植物，芦苇是沼泽的常见资源，派你的小伙伴去采集10颗芦苇吧。别忘了用循环语句。,,,,0,,好的。,123102,1,1101,循环语句？,123201,,,,,,
123102,,无论做什么，都是越做越熟悉的。,,,,1,,,,,,,,,,,,,
123201,,无限循环能让你的机器人无限重复某个你设定好的固定动作，直到完成目标为止。,,,,1,,,,,,,,,,,,,
124101,125101,对啦，客人，其实沼泽里你还有可能碰到一些异变的淤泥怪哦。它们很可怕，不过只要您操作得当，照样可以用机器人解决它。,,,,0,,异变淤泥怪？,124102,1,1102,操作得当？,124201,,,,,,
124102,,嗯，对，似乎是源码能量暴走导致的。具体原因公司也还没找到呢。,,,,1,,,,,,,,,,,,,
124201,,对啊，在代码里让你的机器人及时躲开淤泥怪的攻击就可以了哦。哈哈。,,,,1,,,,,,,,,,,,,
125101,126101,公司似乎发现某个沼泽里有一个汲取能量的巨大怪物，它似乎也喜欢攻击传送你们过来的虚拟数据传输飞船。完美掌控了机器人的你，带着它们去征战这个大怪物吧。,,,,0,,好啊。,125102,1,1103,我再准备准备？,125201,,,,,,
125102,,最好再叫上几个朋友哦。,,,,1,,,,,,,,,,,,,
125201,,当然可以，哈哈。凡事预则立不预则废嘛。,,,,1,,,,,,,,,,,,,
126101,,现在，请带着您的机器人去征服星辰大海吧！,,,,1,,,,,,,,,,,,,
131101,132101,希望这里不要是您的第一站，不然您可要经历些折磨啦。这里可是很危险的哦。,,,,0,,折磨？,131102,2,1104,危险？,131201,2,1105,,,,
131102,,哈哈，不断被击败当然算得上折磨，不过如果您足够强大的话，这里反倒会成为您的福地呢！,,,,0,,福地？,131103,,,,,,,,,,
