NPCid,NPC名字1,"NPC所属地图

2.刷出npc",NPC位置1,NPC场景备注,NPC闲聊对话ID,NPC半身像资源,npcAvatar,NPC类型,大地图是否展示NPC,NPC默认对话
10144,人面冰原,2,,,3000201,,4103001,2,1,这是一块被冰封的土地，如果你想感受冰原的美景，这里无疑能让你满意，但是随处可见的冰魂和冰原狼，乃至恐怖的冰霜巨人都会让你明白这不是一片友好的土地。
10145,世外平原,2,,,3000201,,4101001,2,1,其实按理说，在寒冷的人面冰原中央，不应该存在这样生机勃勃的场景，多亏了冰火群岛上的罗博火山带来的热量，这里成为了一片寒冰中的世外桃源。
10146,北风平原,2,,,3000201,,4101001,2,1,温暖的北海暖风吹散了冰原的寒意，奇特的咕咕鸡和平原野猪在这里扎下了脚跟。随处可见的浆果和树林在述说着北风平原的富饶，到了这里，你就再也不用担心寒风的洗礼。
10147,飞箭平原,2,,,3000201,,4101001,2,1,一方水土养育一方人，这里聚集了一群热爱弓箭的人，当然还有随处可见的箭垛，但是由于那场消失浩劫，这里的弓箭爱好者们都消失了。
10148,海湾平原,2,,,3000201,,4101001,2,1,一片环抱了鲁鲁可海湾的海湾平原。
10149,弯弓半岛,2,,,3000201,,4101001,2,1,由于在地图上看着像一张弓，罗兰就把它叫做弯弓半岛了。不过别怪罗兰，他作为一个跑遍全世界的冒险家，随意点也无可厚非。
10150,狗头人平原,2,,,3000201,,4101001,2,1,为什么叫狗头人平原？去找罗兰的麻烦吧，首先他觉得这片平原就像一个狗头人的狗头。其次这里似乎真的有狗头人。
10151,围火岛,2,,,3000201,,4101001,2,1,达达海的寒风吹熄了达达山上的烈焰，围火岛因此得名。
10152,源码古城,2,,,3000201,,4104001,2,1,我们来到这个世界后建立起的最早聚集地之一，说是古城，其实就是个小型聚集地罢了，由于消失浩劫发生，已经逐渐荒芜了。
10153,浮沉沙漠,2,,,3000201,,4102001,2,1,就像它的名字一般，在这里，你可以感受被沙龙卷刮起的恐惧，也可能经历被流沙吞噬的风险，无论在现实还是虚拟中，沙漠都意味着生机暗淡，危机重重。
10154,麦浪平原,2,,,3000201,,4101001,2,1,重要的粮食生产地，仅存下来的林雷林克两位虚拟人兄弟中林克坐镇的大本营。如果你想要做面包的话，这里有丰富的原料可以帮到你。
10155,鬼哭森林,2,,,3000201,,4101001,2,1,是不是常常心怀恐惧，是不是常常见到鬼影森森，那就对了，因为这里是鬼哭森林。听说森林的深处有一个轻易就能将任何事物撕碎的鬼王。期盼自己不要遇见它吧。
10156,狼嚎森林,2,,,3000201,,4101001,2,1,在这片被恶狼统治的森林，一旦被狼王盯上，就再也没有了逃离的可能。
10157,森林之心,2,,,3000201,,4101001,2,1,在这狼嚎森林的末尾，竟然有这样一片静谧的湖泊，我们认为这无疑就是森林之心。
10158,河口平原,2,,,3000201,,4101001,2,1,乌河的发源地，这也许就是它被称为河口平原的原因。这里尼洛湾的暖风长驱直入，资源丰富，雨水充沛，是一片美丽而肥沃的土地啊。
10159,隔断平原,2,,,3000201,FaEr,FaEr,1,1,"乌金山脉夹在长发森林和环形山脉之间，将这片大平原硬生生的分割成了两条丝带，隔断平原的称呼由此而来，也有人叫它丝带平原。
"
10160,密林火山,2,,,3000201,,4101001,2,1,一座死火山，由于雨水充沛变成了一片郁郁葱葱的森林。
10161,稻香平原,2,,,3000201,,4101001,2,1,正如它的名字一样，这里稻香阵阵，随处都可见的水稻田是这里最常见的场景，想吃大米饭吗？来这里就对了。还有就是，这是林雷的根据地。别忘了和这个地头蛇打招呼。
10162,双湖沼泽,2,,,3000201,,4101001,2,1,一个是位于沼泽中央的米拉湖，一个是位于沼泽边缘的米萝湖，没错，这就是双湖沼泽的由来了。
10163,飞焰群岛,2,,,3000201,,4101001,2,1,"就像从寂灭山脉飞出来的火焰构成了这一片熔岩地为主的群岛，被人们命名为飞焰群岛。
"
10164,大湖平原,2,,,3000201,,4101001,2,1,"源码星球上最大的湖大湖就坐落在这片平原的东南方，所以这片平原也就自然而然的被叫做大湖平原了。
"
10165,寂灭山脉,2,,,3000201,,4104001,2,1,一片由岩浆冷却后构成的巨大山脉，常年的火山喷发和高温是这里生机全无，寂灭无声的理由；不过这寂灭的表象下，也许藏着些不为人知的秘密吧！
10166,魔鬼沙漠,,,,,,,,,魔鬼花是这片沙漠名副其实的统治者，据说是被在这里互相斗殴的虚拟人的的鲜血染红的，其实只是一个有趣的故事罢了，因为我们虚拟人是没有鲜血的吧。
10167,迪迪平原,2,,,3000201,,4101001,2,1,据说是罗兰游历到这个岛时，想起了一个叫做迪迪的可爱小朋友，迪迪岛就此得名，乃至有了迪迪沙漠，迪迪火山，迪迪森林。
10168,冰口峡谷,2,,,3000201,,4101001,2,1,从秃鹫平原进入鸟冠平原的一个狭窄的出入口。
10169,秃鹫平原,2,,,3000201,,4101001,2,1,其实应该叫鸟嘴平原才对，谁会觉得这一定就有秃鹫呢。罗兰确实不怎么会取名字。——林风
10170,环形沙漠,2,,,3000201,,4102001,2,1,被乌拉山脉和边际森林隔绝了水汽，再有咕咕火山散发的热量冲击，一个环形的沙漠就此形成啦。
10171,门牌,2,"567,1514",,,,4104001,2,1,不要在我家附近乱晃！
10172,青草弟弟,2,"-136,1028",,4000001,,4091001,2,1,
10173,大树爸爸,2,"-139,1031",,4000002,,4095001,2,1,
10174,宝箱哥哥,2,"-119,1044",,4000003,,4094030,2,1,
10175,麦浪稻草人,2,"-133,1051",,4000004,,4105026,2,1,
20001,壹,2,"-560,680",,,,4084012,2,1,道可道也，非恒道也。名可名也，非恒名也。无名，万物之始也；有名，万物之母也。故恒无欲也，以观其眇；恒有欲也，以观其所徼。两者同出，异名同谓。玄之又玄，众眇之门。
20002,贰,2,"-660,780",,,,4084012,2,1,天下皆知美之为美，恶已；皆知善，斯不善矣。有无之相生也，难易之相成也，长短之相刑也，高下之相盈也，音声之相和也，先后之相随，恒也。是以圣人居无为之事，行不言之教，万物作而弗始也，为而弗志也，成功而弗居也。夫唯弗居，是以弗去。
20003,叁,2,"-720,840",,,,4084012,2,1,不上贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民不乱。是以圣人之治也，虚其心，实其腹，弱其志，强其骨，恒使民无知、无欲也。使夫知不敢、弗为而已，则无不治矣。
20004,肆,2,"-820,940",,,,4084012,2,1,道冲，而用之有弗盈也。渊呵！似万物之宗。锉其兑，解其纷，和其光，同其尘。湛呵！似或存。吾不知其谁之子，象帝之先。
20005,伍,2,"-440,800",,,,4084012,2,1,天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。天地之间，其犹橐龠乎？虚而不屈，动而俞出。多闻数穷，不若守于中。
20006,陆,2,"-540,900",,,,4084012,2,1,谷神不死，是谓玄牝。玄牝之门，是谓天地之根。绵绵呵！其若存！用之不堇。
20007,柒,2,"-600,960",,,,4084012,2,1,天长，地久。天地之所以能长且久者，以其不自生也，故能长生。是以圣人后其身而身先，外其身而身存，非以其无私邪？故能成其私。
20008,捌,2,"-700,1060",,,,4084012,2,1,上善若水。水善利万物而不争，处众人之所恶，故几于道。居，善地；心，善渊；与，善仁；言，善信；政，善治；事，善能；动，善时。夫唯不争，故无尤。
20009,玖,2,"-320,920",,,,4084012,2,1,持而盈之，不如其已；揣而锐之，不可长保。金玉满堂，莫之能守；富贵而骄，自遗其咎。功成身退，天之道也。
20010,拾,2,"-420,1020",,,,4084012,2,1,载营魄抱一，能无离乎？专气致柔，能如婴儿乎？涤除玄鉴，能无疵乎？爱民治国，能无为乎？天门开阖，能为雌乎？明白四达，能无知乎？生之畜之，生而不有，为而不恃，长而不宰，是谓玄德。
20011,拾壹,2,"-480,1080",,,,4084012,2,1,三十辐共一毂，当其无，有车之用。埏埴以为器，当其无，有器之用。凿户牖以为室，当其无，有室之用。故有之以为利，无之以为用。
20012,拾贰,2,"-580,1180",,,,4084012,2,1,五色令人目盲；五音令人耳聋；五味令人口爽；驰骋畋猎，令人心发狂；难得之货，令人行妨；是以圣人为腹不为目，故去彼取此。
20013,拾叁,2,"-880,1200",,,,4084012,2,1,宠辱若惊，贵大患若身。何谓宠辱若惊？宠为下，得之若惊，失之若惊，是谓宠辱若惊。何谓贵大患若身？吾所以有大患者，为吾有身，及吾无身，吾有何患？故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。
20014,拾肆,2,"-812,1396",,,,4084012,2,1,视而不见，名曰夷；听之不闻，名曰希；搏之不得，名曰微。此三者不可致诘，故混而为一。其上不徼，其下不昧，绳绳兮不可名，复归于无物。是谓无状之状，无物之象，是谓惚恍。迎之不见其首，随之不见其后。执古之道，以御今之有。能知古始，是谓道纪。
20015,拾伍,2,"-778,1494",,,,4084012,2,1,古之善为道者，微妙玄通，深不可识。夫不唯不可识，故强为之容；豫兮若冬涉川；犹兮若畏四邻；俨兮其若客；涣兮其若凌释；敦兮其若朴；旷兮其若谷；混兮其若浊；孰能浊以静之徐清？孰能安以静之徐生？保此道者，不欲盈。夫唯不盈，故能蔽而新成。
20016,拾陆,2,"-710,1690",,,,4084012,2,1,致虚极，守静笃；万物并作，吾以观复。夫物芸芸，各复归其根。归根曰静，静曰复命。复命曰常，知常曰明。不知常，妄作凶。知常容，容乃公，公乃全，全乃天，天乃道，道乃久，没身不殆
20017,拾柒,2,"-730,1230",,,,4084012,2,1,太上，不知有之；其次，亲而誉之；其次，畏之；其次，侮之。信不足焉，有不信焉。悠兮，其贵言。功成事遂，百姓皆谓“我自然”。
20018,拾捌,2,"-560,1720",,,,4084012,2,1,大道废，有仁义；智慧出，有大伪；六亲不和，有孝慈；国家昏乱，有忠臣。
20019,拾玖,2,"-580,1260",,,,4084012,2,1,绝圣弃智，民利百倍；绝仁弃义，民复孝慈；绝巧弃利，盗贼无有。此三者以为文不足，故令有所属；见素抱朴，少私寡欲；绝学无忧。
20020,贰拾,2,"-410,1750",,,,4084012,2,1,唯之与阿，相去几何？美之与恶，相去若何？人之所畏，不可不畏。荒兮，其未央哉！众人熙熙，如享太牢，如春登台。我独泊兮，其未兆；沌沌兮，如婴儿之未孩；傫傫兮，若无所归。众人皆有余，而我独若遗。我愚人之心也哉！俗人昭昭，我独昏昏。俗人察察，我独闷闷。澹兮，其若海；飂兮，若无止。众人皆有以，而我独顽且鄙。我独异于人，而贵食母。
20021,贰拾一,2,"-480,1960",,,,4084012,2,1,孔德之容，惟道是从。道之为物，惟恍惟惚。惚兮恍兮，其中有象；恍兮惚兮，其中有物；窈兮冥兮，其中有精，其精甚真，其中有信，自今及古，其名不去，以阅众甫。吾何以知众甫之状哉？以此。
20022,贰拾贰,2,"-280,2160",,,,4084012,2,1,"曲则全，枉则直，洼则盈，敝则新，少则得，多则惑。是以圣人抱一为天下式。不自见，故明；不自是，故彰，不自伐，故有功；不自矜，故长。夫唯不争，故天下莫能与之争。古之所谓""曲则全""者，岂虚言哉？诚全而归之。"
20023,贰拾叁,2,"-160,2280",,,,4084012,2,1,希言自然。故飘风不终朝，骤雨不终日，孰为此者？天地。天地尚不能久，而况于人乎？故从事于道者同于道；德者同于德；失者同于失。同于道者，道亦乐得之；同于德者，德亦乐得之；同于失者，失亦乐得之。信不足焉，有不信焉！
20024,贰拾肆,2,"40,2480",,,,4084012,2,1,企者不立，跨者不行；自见者不明；自是者不彰；自伐者无功；自矜者不长。其在道也，曰余食赘形。物或恶之，故有道者不处。
20025,贰拾伍,2,"-420,1900",,,,4084012,2,1,有物混成，先天地生。寂兮寥兮，独立而不改，周行而不殆，可以为天地母。吾不知其名，强字之曰：道，强为之名曰：大。大曰逝，逝曰远，远曰反。故道大，天大，地大，人亦大。域中有四大，而人居其一焉。人法地，地法天，天法道，道法自然。
20026,贰拾陆,2,"100,2420",,,,4084012,2,1,重为轻根，静为躁君。是以君子终日行不离辎重，虽有荣观，燕处超然。奈何万乘之主，而以身轻天下？轻则失根，躁则失君。
20027,贰拾柒,2,"-360,1840",,,,4084012,2,1,善行，无辙迹；善言，无瑕谪；善数，不用筹策；善闭，无关楗而不可开；善结，无绳约而不可解。是以圣人常善救人，故无弃人；常善救物，故无弃物。是谓袭明。故善人者，不善人之师；不善人者，善人之资。不贵其师，不爱其资，虽智大迷，是谓要妙。
20028,贰拾捌,2,"-160,2040",,,,4084012,2,1,知其雄，守其雌，为天下溪。为天下溪，常德不离，复归于婴儿。知其白，守其黑，为天下式，为天下式，常德不忒，复归于无极。知其荣，守其辱，为天下谷。为天下谷，常德乃足，复归于朴。朴散则为器，圣人用之，则为官长，故大制不割。
20029,贰拾玖,2,"-40,2160",,,,4084012,2,1,将欲取天下而为之，吾见其不得已。天下神器，不可为也，不可执也。为者败之，执者失之。是以圣人无为，故无败，故无失。夫物或行或随；或觑或吹；或强或羸；或载或隳。是以圣人去甚、去奢、去泰。
20030,叁拾,2,"160,2360",,,,4084012,2,1,以道佐人主者，不以兵强天下，其事好还。师之所处，荆棘生焉。大军之后，必有凶年。善有果而已，不敢以取强。果而勿矜，果而勿伐，果而勿骄，果而不得已，果而勿强。物壮则老，是谓不道，不道早已。
20031,叁拾壹,2,"360,2760",,,,4084012,2,1,夫兵者，不祥之器，物或恶之，故有道者不处。君子居则贵左，用兵则贵右。兵者不祥之器，非君子之器，不得已而用之，恬淡为上，胜而不美，而美之者，是乐杀人。夫乐杀人者，则不可得志于天下矣。吉事尚左，凶事尚右。偏将军居左，上将军居右。言以丧礼处之。杀人之众，以悲哀莅之，战胜以丧礼处之。
20032,叁拾贰,2,"511,2783",,,,4084012,2,1,道常无名，朴。虽小，天下莫能臣。候王若能守之，万物将自宾。天地相合，以降甘露，民莫之令而自均。始制有名，名亦既有，夫亦将知止，知止可以不殆。譬道之在天下，犹川谷之于江海。
20033,叁拾叁,2,"604,2812",,,,4084012,2,1,知人者智，自知者明。胜人者有力，自胜者强。知足者富，强行者有志，不失其所者久，死而不亡者寿。
20034,叁拾肆,2,"800,2880",,,,4084012,2,1,大道汜兮，其可左右。万物恃之以生而不辞，功成而不有。衣养万物而不为主，常无欲，可名于小；万物归焉而不为主，可名为大。以其终不自为大，故能成其大。
20035,叁拾伍,2,"280,2560",,,,4084012,2,1,执大象，天下往。往而不害，安平太。乐与饵，过客止，道之出口，淡乎其无味，视之不足见，听之不足闻，用之不足既。
20036,叁拾陆,2,"481,2633",,,,4084012,2,1,将欲歙之，必固张之；将欲弱之，必固强之；将欲废之，必固兴之；将欲取之，必固与之。是谓微明，柔弱胜刚强。鱼不可脱于渊，国之利器不可以示人。
20037,叁拾柒,2,"574,2662",,,,4084012,2,1,道常无为而无不为。候王若能守之，万物将自化。化而欲作，吾将镇之以无名之朴，镇之以无名之朴，夫将不欲。不欲以静，天下将自定。
20038,叁拾捌,2,"770,2730",,,,4084012,2,1,上德不德，是以有德；下德不失德，是以无德。上德无为而无以为；下德无为而有以为。上仁为之而无以为；上义为之而有以为。上礼为之而莫之应，则攘臂而扔之。故失道而后德，失德面后仁，失仁而后义，失义而后礼。夫礼者，忠信之薄，而乱之首。前识者，道之华，而愚之始。是以大丈夫处其厚，不居其薄；处其实，不居其华。故去彼取此。
20039,叁拾玖,2,"250,2410",,,,4084012,2,1,昔之得一者，天得一以清；地得一以宁；神得一以灵；谷得一以盈，万物得一以生；候王得一以为天一正。其致之也，谓天无以清，将恐裂；地无以宁，将恐废；神无以灵，将恐歇；谷无以盈，将恐竭；万物无以生，将恐灭；候王无以正，将恐蹶。故贵以贱为本，高以下为基。是以候王自称孤、寡、不谷。此非以贱为本邪？非乎？故至誉无誉。是故不欲琭琭如玉，珞珞如石。
20040,肆拾,2,"740,2580",,,,4084012,2,0,反者道之动，弱者道之用。天下万物生于有，有生于无。
20041,肆拾壹,2,"1060,2820",,,,4084012,2,0,上士闻道，勤而行之；中士闻道，若存若亡；下士闻道，大笑之。不笑不足以为道。故建言有之：明道若昧，进道若退，夷道若纇。上德若谷；大白若辱；广德若不足；建德若偷；质真若渝。大方无隅；大器晚成；大音希声；大象无形；道隐无名。夫唯道，善贷且成。
20042,肆拾贰,2,"1320,2560",,,,4084012,2,0,道生一，一生二，二生三，三生万物。万物负阴而抱阳，冲气以为和。人之所恶，唯孤、寡、不谷，而王公以为称。故物或损之而益，或益之而损。人之所教，我亦教之。强梁者不得其死，吾将以为教父。
20043,肆拾叁,2,"940,2700",,,,4084012,2,0,天下之至柔，驰骋天下之至坚。无有入无间，吾是以知无为之有益。不言之教，无为之益，天下希及之
20044,肆拾肆,2,"1200,2440",,,,4084012,2,0,名与身孰亲？身与货孰多？得与亡孰病？甚爱必大费，多藏必厚亡。故知足不辱，知止不殆，可以长久。
20045,肆拾伍,2,"820,2580",,,,4084012,2,0,大成若缺，其用不弊。大盈若冲，其用不穷。大直若屈，大巧若拙，大辩若讷。静胜躁，寒胜热。清静为天下正。
20046,肆拾陆,2,"1080,2320",,,,4084012,2,0,天下有道，却走马以粪，天下无道，戎马生于郊。祸莫大于不知足；咎莫大于欲得。故知足之足，常足矣。
20047,肆拾柒,2,"1380,2300",,,,4084012,2,0,不出户，知天下；不窥牖，见天道。其出弥远，其知弥少。是以圣人不行而知，不见而明，不为而成。
20048,肆拾捌,2,"1220,1820",,,,4084012,2,0,为学日益，为道日损，损之又损，以至于无为。无为而无不为，取天下常以无事；及其有事，不足以取天下。
20049,肆拾玖,2,"1230,2270",,,,4084012,2,0,圣人常无心，以百姓之心为心。善者，吾善之；不善者，吾亦善之，德善。信者，吾信之；不信者，吾亦信之，德信。圣人在天下，歙歙焉为天下浑其心，百姓皆注其耳目，圣人皆孩之。
20050,伍拾,2,"1162,2074",,,,4084012,2,0,出生入死，生之徒，十有三；死之徒，十有三；人之生，动之于死地，亦十有三。夫何故？以其生生之厚。盖闻善摄生者，陆行不遇兕虎，入军不被甲兵。兕无所投其角，虎无所措其爪，兵无所容其刃。夫何故？以其无死地。
20051,伍拾壹,2,"1128,1976",,,,4084012,2,0,道生之，德畜之，物形之，势成之。是以万物莫不尊道而贵德。道之尊，德之贵，夫莫之命而常自然。故道生之，德畜之，长之育之，亭之毒之；养之覆之。生而不有，为而不恃，长而不宰，是谓玄德。
20052,伍拾贰,2,"1060,1780",,,,4084012,2,0,天下有始，以为天下母。既得其母，以知其子；既知其子，复守其母，没身不殆。塞其兑，闭其门，终身不勤。开其兑，济其事，终身不救。见小曰明，守柔曰强。用其光，复归其明，无遗身殃；是为袭常。
20053,伍拾叁,2,"1080,2240",,,,4084012,2,0,使我介然有知，行于大道，唯施是畏。大道甚夷，而人好径。朝甚除，田甚芜，仓甚虚，服文采，带利剑，厌饮食，财货有余，是谓盗竽。非道也哉！
20054,伍拾肆,2,"1012,2044",,,,4084012,2,0,善剑者不拔，善抱者不脱，子孙以祭祀不辍。修之于身，其德乃真；修之于家，其德乃余；修之于乡，其德乃长；修之于邦，其德乃丰；修之于天下，其德乃普。故以身观身，以家观家，以乡观乡，以邦观邦，以天下观天下。吾何以知天下然哉？以此。
20055,伍拾伍,2,"978,1946",,,,4084012,2,0,"含德之厚，比于赤子。毒虫不螫，猛兽不据,攫鸟不搏。骨弱筋柔而握固。未知牝牡之合而朘作，精之至也。终日号而不嗄，和之至也。知和曰""常""，知常曰""明""，益生曰祥，心使气曰强。物壮则老，谓之不道，不道早已。"
20056,伍拾陆,2,"910,1750",,,,4084012,2,0,知者不言，言者不知。塞其兑，闭其门；挫其锐，解其纷；和其光，同其尘，是谓玄同。故不可得而亲，不可得而疏；不可得而利，不可得而害；不可得而贵，不可得而贱；故为天下贵。
20057,伍拾柒,2,"980,1540",,,,4084012,2,0,"以正治国，以奇用兵，以无事取天下。吾何以知其然哉？以此：天下多忌讳，而民弥贫；人多利器，国家滋昏；人多伎巧，奇物滋起；法令滋彰，盗贼多有。故圣人云：""我无为，而民自化；我好静，而民自正；我无事，而民自富；我无欲，而民自朴。"""
20058,伍拾捌,2,"460,1020",,,,4084012,2,0,其政闷闷，其民淳淳；其政察察，其民缺缺。祸兮，福之所倚；福兮，祸之所伏。孰知其极：其无正也。正复为奇，善复为妖。人之迷，其日固久。是以圣人方而不割，廉而不刿，直而不肆，光而不耀。
20059,伍拾玖,2,"920,1600",,,,4084012,2,0,治人事天，莫若啬。夫唯啬，是谓早服；早服谓之重积德；重积德则无不克；无不克则莫知其极，莫知其极，可以有国；有国之母，可以长久。是谓根深固柢，长生久视之道。
20060,陆拾,2,"720,1400",,,,4084012,2,0,治大国，若烹小鲜，以道莅天下，其鬼不神。非其鬼不神，其神不伤人。非其神不伤人，圣人亦不伤人。夫两不相伤，故德交归焉。
