流水,类型,信息ID,名称,备注,类型,图标资源,标题1,描述1,标题2,描述2,标题3,描述3,标题4,描述4,标题5,描述5
47,2,3094016,仙人掌,仙人球,植物,icon_plant,科：,仙人掌科,属：,仙人掌属,种：,仙人掌,说明,原型为仙人掌，仙人掌喜光、耐旱，适合在中性、微碱性土壤生长。通常栽作围篱，茎供药用，浆果酸甜可食，花语是坚强。,掉落,纤维、仙人掌块
49,2,3094018,紫灌,紫灌,植物,icon_plant,科：,龙舌兰科,属：,朱蕉属,种：,紫灌,说明,原型为朱蕉，性喜高温多湿气候，为观叶植物。朱蕉株形美观，色彩华丽高雅，具有较好的观赏性。花语：青春永驻，清新悦目。,掉落,纤维、紫灌叶
51,2,3094020,龟甲灌丛,龟甲灌丛,植物,icon_plant,科：,冬青科,属：,冬青属,种：,龟甲灌丛,说明,原型为龟甲冬青，喜温暖气候，适应性强，阳地、阴处均能生长；但以湿润、肥沃的微酸性黄土最为适宜，中性土壤亦能正常生长。,掉落,纤维、龟甲叶
52,2,3094021,红浆树,红浆树,植物,icon_plant,科：,小檗科,属：,南天竹属,种：,红浆树,说明,原型为南天竹药用可以镇咳止喘，兴奋强壮，但其实全株有毒，中毒症状为兴奋，脉搏先快后慢、且不规则、血压下降、肌肉痉挛、呼吸麻痹、昏迷等。,掉落,树枝、红浆果
53,2,3094022,红柳,红柳,植物,icon_plant,科：,柽柳科,属：,柽柳属,种：,红柳,说明,原型为红柳，又称怪柳，分布于我国新疆、甘肃、内蒙古、河南，除饲用外，主要用于营造农田防护林、绿化林、固沙林。,掉落,纤维、红柳叶
54,2,3094023,胡萝卜,胡萝卜,植物,icon_plant,科：,芹亚科,属：,胡萝卜属,种：,胡萝卜,说明,原型为胡萝卜，胡萝卜素有“小人参”之称，根作为蔬菜食用。并含多种维生素A、B、C及胡萝卜素。,掉落,胡萝卜、胡萝卜块茎
55,2,3094024,水稻,水稻,植物,icon_plant,科：,稻亚科,属：,稻属,种：,水稻,说明,原型为水稻，是世界上三分之一人类的主食，栽培历史可追溯到约公元前12000～16000年前的中国湖南。,掉落,水稻、水稻种子
56,2,3094025,土豆,土豆,植物,icon_plant,科：,茄科,属：,龙葵亚属,种：,马铃薯,说明,原型为马铃薯，别称洋芋，土豆等；马铃薯块茎含有大量的淀粉，能提供大量能量，可以用来主治胃痛、痄肋、痈肿、湿疹、烫伤，是和胃健中药和解毒消肿药。,掉落,土豆、土豆块茎
57,2,3094026,西瓜,西瓜,植物,icon_plant,科：,葫芦科,属：,西瓜属 ,种：,西瓜,说明,原型为西瓜，生食能解渴生津，解暑热烦躁。有「天生白虎汤」之称，中国民间谚语云：夏日吃西瓜，药物不用抓。不过吃太多也伤脾胃哦。,掉落,西瓜、西瓜种子
58,2,3094027,小麦,小麦,植物,icon_plant,科：,小麦科,属：,小麦属,种：,小麦,说明,原型为小麦，小麦是新石器时代的人类对其野生祖先进行驯化的产物，栽培历史已有1万年以上。小麦的颖果是人类的主食之一。,掉落,小麦、小麦种子
59,2,3094028,芦苇,芦苇,植物,icon_plant,科：,禾本科,属：,芦苇属,种：,芦苇,说明,原型为芦苇，由于芦苇根具有清热解渴，治疗上吐下泻。所以吃了可以加饥渴度和解毒。,掉落,芦苇、芦苇种子
60,2,3094029,开花银剑菊,开花银剑菊,植物,icon_plant,科：,不明,属：,不明,种：,银剑菊,说明,生长在夏威夷茂宜岛上的哈雷卡拉火山国家公园上的世界珍稀植物夏威夷银剑菊。一生只开一次花。被称为大自然最奇特的花。,掉落,银剑菊花朵。
,2,3094030,破碎木箱,破碎木箱,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,似乎是被人为放置在地图上的宝藏，难道是玩藏宝游戏用的吗？,掉落,不明
,2,3094031,弃置合金箱,弃置合金箱,人造物,icon_mineral,派系：,人类制造,材质：,金属,级别：,中,说明,似乎是被人为放置在地图上的宝藏，难道是玩藏宝游戏用的吗？,掉落,不明
,2,3094032,源码宝箱,源码宝箱,人造物,icon_mineral,派系：,人类制造,材质：,源码,级别：,高,说明,似乎是被人为放置在地图上的宝藏，难道是玩藏宝游戏用的吗？,掉落,不明
64,2,3095001,常青树,常青树,植物,icon_plant,科：,多种,属：,多种,种：,多种,说明,常青树是指枝繁叶茂，四季常青的植物（如松柏类、冬青，桂花等），寓意永生。,掉落,原木
68,2,3095005,白桦,白桦,植物,icon_plant,科：,桦木科,属：,桦木属,种：,白桦,说明,"原型为白桦树，因其木材致密,可制木器。而且白桦树是俄罗斯的国树，白桦的花语和象征代表意义是生与死的考验。",掉落,白桦原木
69,2,3095006,黑橡树,黑橡树,植物,icon_plant,科：,壳斗科,属：,栎属,种：,黑橡,说明,原型为橡树，橡树是美国的国树，在欧美，橡树被视为神秘之树，橡树的花语是永恒。,掉落,黑箱原木
70,2,3095007,红枫,红枫,植物,icon_plant,科：,槭树科,属：,槭树属,种：,鸡爪槭,说明,原型为红枫树，别称红叶羽毛枫，红枫为名贵的观叶树木，故常作盆栽欣赏。,掉落,红枫原木
71,2,3095008,青云杉,青云杉,植物,icon_plant,科：,云杉亚科,属：,云杉属,种：,云杉,说明,原型为云杉，是国家2级重点保护野生植物，可作建筑、飞机、枕木、电杆、舟车、器具、家具及木纤维工业原料等用材。,掉落,青云杉原木
72,2,3095009,雪海松,雪海松,植物,icon_plant,科：,松科,属：,雪松属,种：,雪松,说明,原型为雪松，中国只有一种喜玛拉雅雪松，分布于西藏南部及印度和阿富汗。雪松木材轻软，具树脂，不易受潮。在原产地是一种重要的建筑用材。还可以杀菌驱虫。,掉落,雪海松原木
73,2,3095010,香蕉树,香蕉树,植物,icon_plant,科：,芭蕉科,属：,芭蕉属,种：,香蕉,说明,原型为香蕉，传说，佛教始祖释迦牟尼由于吃了香蕉而获得了智慧，因而被誉为“智慧之果”。香蕉还可以清热解毒，利尿消肿，安胎。,掉落,香蕉
75,2,3096002,安山岩,安山岩,矿物,icon_mineral,释义：,中性喷出岩,形成过程：,安山岩是造山带内分布最广的一种火山岩，多呈岩被、岩流、岩钟侵出相产出。,成分：,SiO2=52.4%﹐Al2O3=17.17%﹐CaO=7.92%﹐Na2O=3.67%﹐K2O=1.11%,说明,原型为安山岩，因大量发育于美洲的安第斯山脉而得名。,掉落,石头、煤、硫磺
77,2,3096004,原石,原石,矿物,icon_mineral,释义：,形状不定的矿物质凝结物,形成过程：,一般指由大岩体遇外力而脱落下来的小型岩体，多依附于大岩体表面，一般成块状或椭圆形，外表有的粗糙，有的光滑，质地坚固、脆硬。,成分：,二氧化硅、碳酸钙,说明,原型为石头，可用来制造石器，采集石矿。在几千年前，我们的祖先就是用石头来生火。,掉落,石头、煤、硫磺
79,2,3096006,富铁矿,富铁矿,矿物,icon_mineral,释义：,含铁量大于50%的铁矿石,形成过程：,沉积变质、火山入侵、沉积形成。,成分：,铁、硅石、铝等,说明,原型为含铁量大于50%的铁矿石。,掉落,铁矿石
80,2,3096007,花岗岩,花岗岩,矿物,icon_mineral,释义：,酸性侵入岩,形成过程：,花岗岩的形成过程通常与大陆的构造作用、变质作用和成矿作用密切相关,成分：,二氧化硅,说明,花岗岩结构致密，抗压强度高，吸水率低，表面硬度大，化学稳定性好，耐久性强，但耐火性差。可用作艺术品和建材。,掉落,花岗岩
81,2,3096008,玄武岩,玄武岩,矿物,icon_mineral,释义：,基性喷出岩,形成过程：,是由火山喷发出的岩浆冷却后凝固而成的一种致密状或泡沫状结构的岩石。,成分：,二氧化硅、三氧化二铝、氧化铁、氧化钙、氧化镁,说明,"玄武岩的用途十分广泛，其应用并不仅局限在建筑行业中，比如玄武岩是生产""铸石""的好原料，其经过熔化铸造、结晶处理，退火等工序，可以形成合金钢坚硬而耐磨，比铅和橡胶抗腐蚀的一种新型材料",掉落,玄武岩
82,2,3096009,奇异冰柱,奇异冰柱,矿物,icon_mineral,释义：,极寒情况下形成的冰柱。,形成过程：,极寒天气使空气中的水蒸气快速聚合凝结而成。,成分：,水,说明,好吧，其实前面的都是我编的，不过其实现实中的南北极的海洋里有恐怖的死亡冰柱。,掉落,冰块
83,2,3096010,土堆,土堆,矿物,icon_mineral,释义：,泥土沙石混合物,形成过程：,泥土沙石混合后堆放在一起，形成一定规模后被称为土堆。,成分：,SiO2、Al2O3、CaO、Fe2O3、MgO、K2O,说明,土是地壳表面最主要的组成物质，是岩石圈表层在漫长的地质年代里，经受各种复杂的地质作用所形成的松软物质。,掉落,土块
84,2,3096011,源码晶体矿,源码晶体矿,矿物,icon_mineral,释义：,源码能量凝聚而成的矿石,形成过程：,源码大战后，源码核心破碎，能量散溢到世界各地后再次凝聚产生的矿石。,成分：,源码晶石，源码能量,说明,源码世界的主要能源物质，还是合成各种物件的关键物资。,掉落,源码晶石
87,2,3096014,大理岩,大理岩,矿物,icon_mineral,释义：,碳酸盐类岩石经变质而成的岩石,形成过程：,碳酸盐岩经区域变质作用或接触变质作用形成,成分：,SiO2、Al2O3、Fe2O3、FeO、MnO、CaO、MgO、K2O、Na2O等,说明,由于中国云南省大理县盛产这种岩石，故名大理岩，主要用作雕刻和建筑材料。,掉落,大理岩
88,2,3097001,石地常青树,石地常青树,植物,icon_plant,科:,多种,属:,多种,种:,多种,说明,原型为常青树，,掉落,石头、原木
89,2,3099001,枯树,枯树,植物,icon_plant,科:,多种,属:,多种,种:,多种,说明,提起枯树，就不免想到枯死的胡杨林。虽然胡杨是生长在沙漠，但是胡杨顽强抗争的精神应该传遍世界。,掉落,原木
,,3101001,草原指路牌,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一块指路牌,掉落,
,,3102001,沙漠指路牌,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一块指路牌,掉落,
,,3102003,老鹰图腾柱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一块指路牌,掉落,
,,3102004,人物图腾柱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一块指路牌,掉落,
,,3103001,雪原指路牌,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一块指路牌,掉落,
,,3103002,雪晶树,,植物,icon_plant,科：,不明,属：,不明,种：,不明,说明,似乎是冰块在源码能量的作用下形成的树，具体来源不明。,掉落,不明
,,3103003,雪地源码碑,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,雪地源码碑,掉落,
,,3103004,矮雪地石柱,,人造物,icon_mineral,派系：,人类制造,材质：,,级别：,低,说明,矮雪地石柱,掉落,
,,3103005,高雪地石柱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,高雪地石柱,掉落,
,,3104001,石地指路牌,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,石地指路牌,掉落,
,,3105001,木制工作台,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,木制工作台,掉落,
,,3105002,简易木箱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,简易木箱,掉落,
,,3105003,雨水收集器,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,雨水收集器,掉落,
,,3105004,公告板,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,公告板,掉落,
,,3105005,篝火（燃）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,篝火（燃）,掉落,
,,3105006,烹饪锅（燃）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,烹饪锅（燃）,掉落,
,,3105007,高级烹饪锅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,高级烹饪锅,掉落,
,,3105008,精致木箱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,精致木箱,掉落,
,,3105009,精致铁箱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,精致铁箱,掉落,
,,3105010,合金密码箱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,合金密码箱,掉落,
,,3105011,石制工作台,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,石制工作台,掉落,
,,3105012,铁质工作台,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,铁质工作台,掉落,
,,3105013,机械工作台,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,机械工作台,掉落,
,,3105014,铁砧,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,铁砧,掉落,
,,3105015,制衣台,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,制衣台,掉落,
,,3105016,石炉运行,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,石炉运行,掉落,
,,3105017,钢铁高炉运行,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,钢铁高炉运行,掉落,
,,3105018,源码熔炉运行,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,源码熔炉运行,掉落,
,,3105019,火炉（燃）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,火炉（燃）,掉落,
,,3105020,饲养槽,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,饲养槽,掉落,
,,3105021,饲料槽,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,饲料槽,掉落,
,,3105022,防水饲料槽,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,防水饲料槽,掉落,
,,3105023,禽舍,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,禽舍,掉落,
,,3105024,画板,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,画板,掉落,
,,3105025,砧板,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,砧板,掉落,
,,3105026,稻草人,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,稻草人,掉落,
,,3105027,风力发电机,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,风力发电机,掉落,
,,3105028,供电柱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,供电柱,掉落,
,,3105029,开关,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,开关,掉落,
,,3105030,开关2,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,开关2,掉落,
,,3105031,弹簧,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,弹簧,掉落,
,,3105032,弹簧2,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,弹簧2,掉落,
,,3105033,衣柜,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,衣柜,掉落,
,,3105034,源码烤箱,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,源码烤箱,掉落,
,,3105035,源码楼梯,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,源码楼梯,掉落,
,,3105036,旱地,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,旱地,掉落,
,,3105045,篝火（灭）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,篝火（灭）,掉落,
,,3105046,烹饪锅（灭）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,烹饪锅（灭）,掉落,
,,3105047,火炉（灭）,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,火炉（灭）,掉落,
,,3106001,水壶,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,水壶,掉落,
,,3106007,草垛,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,草垛,掉落,
,,3106011,木桶,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,木桶,掉落,
,,3106012,原木靠背凳,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,原木靠背凳,掉落,
,,3106013,枫木靠背凳,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,枫木靠背凳,掉落,
,,3106014,橡木靠背凳,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,橡木靠背凳,掉落,
,,3106015,原木太师椅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,原木太师椅,掉落,
,,3106016,枫木太师椅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,枫木太师椅,掉落,
,,3106017,橡木太师椅,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,橡木太师椅,掉落,
,,3106018,原木宝座,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,原木宝座,掉落,
,,3106019,枫木宝座,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,枫木宝座,掉落,
,,3106020,橡木宝座,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,橡木宝座,掉落,
,,3106024,破碎木箱1号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106025,破碎木箱2号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106026,破碎木箱3号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106027,合金箱1号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106028,合金箱2号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106029,合金箱3号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106030,源码宝箱1号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106031,源码宝箱2号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3106032,源码宝箱3号,,人造物,icon_mineral,派系：,人类制造,材质：,木制,级别：,低,说明,一个宝箱，里面有什么呢？,掉落,不明
,,3110001,胡萝卜,自己种植的胡萝卜,植物,icon_plant,科：,芹亚科,属：,胡萝卜属,种：,胡萝卜,说明,原型为胡萝卜，胡萝卜素有“小人参”之称，根作为蔬菜食用。并含多种维生素A、B、C及胡萝卜素。,掉落,胡萝卜、胡萝卜块茎
,,3110002,水稻,自己种植的水稻,植物,icon_plant,科：,稻亚科,属：,稻属,种：,水稻,说明,原型为水稻，是世界上三分之一人类的主食，栽培历史可追溯到约公元前12000～16000年前的中国湖南。,掉落,水稻、水稻种子
,,3110003,土豆,自己种植的土豆,植物,icon_plant,科：,茄科,属：,龙葵亚属,种：,马铃薯,说明,原型为马铃薯，别称洋芋，土豆等；马铃薯块茎含有大量的淀粉，能提供大量能量，可以用来主治胃痛、痄肋、痈肿、湿疹、烫伤，是和胃健中药和解毒消肿药。,掉落,土豆、土豆块茎
,,3110004,西瓜,自己种植的西瓜,植物,icon_plant,科：,葫芦科,属：,西瓜属 ,种：,西瓜,说明,原型为西瓜，生食能解渴生津，解暑热烦躁。有「天生白虎汤」之称，中国民间谚语云：夏日吃西瓜，药物不用抓。不过吃太多也伤脾胃哦。,掉落,西瓜、西瓜种子
,,3110005,小麦,自己种植的小麦,植物,icon_plant,科：,小麦科,属：,小麦属,种：,小麦,说明,原型为小麦，小麦是新石器时代的人类对其野生祖先进行驯化的产物，栽培历史已有1万年以上。小麦的颖果是人类的主食之一。,掉落,小麦、小麦种子
,,3110006,芦苇,自己种植的芦苇,植物,icon_plant,科：,禾本科,属：,芦苇属,种：,芦苇,说明,原型为芦苇，由于芦苇根具有清热解渴，治疗上吐下泻。所以吃了可以加饥渴度和解毒。,掉落,芦苇、芦苇种子
,,3110007,空心,自己种植的空心,植物,icon_plant,科：,苋科,属：,莲子草属,种：,空心,说明,原型为空心莲子草，原产巴西，生在池沼、水沟内。全草入药，有清热利水、凉血解毒作用; 可作饲料。,掉落,纤维、空心花瓣、空心种子。
